	Word	Class0	Class1	Class2	MultiMean
923	空岗	1	1	1	11
924	跳级	1	1	1	0
925	传教	1	1	1	4
926	添	1	1	1	35
927	小气候	1	1	1	2
928	据为己有	1	1	1	7
929	政协	1	1	1	5
930	肥效	1	1	1	10
931	责任田	1	1	1	42
932	里头	2	3	3	33
933	哗哗哗	1	1	1	5
934	糖瓜	1	1	1	15
935	住户	1	1	1	9
936	人有千算	1	1	1	14
937	板球	1	1	1	23
938	功课	1	1	1	3
939	移栽	1	1	1	2
940	搅混	2	2	2	36
941	闪射	1	1	1	5
942	街名	1	1	1	16
943	稳健	1	2	2	32
944	惩处	1	1	1	17
945	小家庭	1	1	1	4
946	老虎皮	1	1	1	9
947	睫毛	1	1	1	2
948	休克	1	1	1	2
949	落叶树	1	1	1	2
950	劳动节	1	1	1	1
951	土拨鼠	1	1	1	10
952	擒拿	1	1	1	13
953	环绕	1	1	1	14
954	木人石心	1	1	1	28
955	庄园主	1	1	1	6
956	油坊	1	1	1	3
957	叙写	1	1	1	3
958	贤内助	1	1	1	22
959	重生父母	1	1	1	3
960	老江湖	1	1	1	6
961	车带	1	1	1	5
962	闪现	1	1	1	1
963	黄葛树	1	1	1	70
964	期满	1	1	1	3
965	汁	1	1	1	5
